unnamed:_0,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19
Emergency Housing Grants (EHGs),,,,,,,,,,,,,,,,,,,
From January 2024 to June 2025,,,,,,,,,,,,,,,,,,,
Across the month,,,,,,,,,,,,,,,,,,,
This section displays data based on all EHG grants that were granted in the calendar month.,,,,,,,,,,,,,,,,,,,
Grants may have been issued for stays in Emergency Housing (EH) that occurred in prior or for the subsequent month.,,,,,,,,,,,,,,,,,,,
,High level statistics,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Number of EHGs granted,6762,6861,6807,6429,6507,4650,4578,3570,3267,2604,1911,1428,1209,1098,1338,1176,1395,1257
,Number of households granted EHGs,3531,3471,3333,3117,2931,2472,2208,1716,1416,1182,954,711,636,585,645,600,666,645
,Total amount granted,24536662.17,24371409.91,24423310.79,23040292.86,22620362.09,15905600.65,15565259.91,10745482.81,9693215.2,7976277.25,5647460.32,4564372.43,3535367.6,3008269.42,3683931.68,3221461.53,3679310.76,3170449.75
,Total number of nights funded in the month,87407,87143,87382,80920,78780,56293,55240,39121,35712,29739,21744,18242,14415,12055,14582,12966,14912,13020
,Average consecutive weeks in EH for the month,26.6,25.5,25.6,25.7,25.6,26.6,26.3,26.8,28.7,29.3,29.3,31.7,28.8,26.1,22.3,20.9,18.6,17.7
,Number of EHG suppliers,348,334,313,314,299,297,283,266,242,227,208,180,160,141,149,153,158,146
As at the end of the month,,,,,,,,,,,,,,,,,,,
This section displays data for the households in Emergency Housing (EH) on the last day of a given month.,,,,,,,,,,,,,,,,,,,
This is based on check in and check out dates for the Emergency Housing primary recipient collected at the time of the EHG.,,,,,,,,,,,,,,,,,,,
,Persons in Emergency Housing,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Number of households in EH at the month end,2880,2874,2628,2532,2280,1959,1548,1215,1038,858,690,498,477,459,459,453,456,459
,Number of adults in EH at the month end,3279,3261,2976,2862,2574,2184,1716,1332,1128,933,747,534,528,498,495,495,495,498
,Number of children in EH at the month end,3216,3210,2985,2886,2544,2139,1614,1101,933,747,579,303,345,342,393,396,378,426
,Total people in EH at the month end,6495,6471,5961,5751,5121,4323,3330,2436,2061,1680,1326,837,873,843,888,891,873,924
,Primary recipient's household type,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Couple without children,102,93,87,81,84,72,54,51,30,27,24,18,15,12,12,18,15,15
,Couple with children,297,291,264,246,210,150,114,69,60,45,33,18,39,27,24,21,24,21
,Single without children,1275,1272,1146,1107,1047,921,792,681,606,513,420,348,303,273,264,258,261,255
,Single with children,1209,1215,1128,1098,942,813,588,414,342,276,213,117,120,153,156,156,153,168
,Primary recipient's duration in EH,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Under 4 weeks in EH,426,456,327,318,300,267,210,189,144,114,120,54,99,129,129,117,123,144
