unnamed:_0,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19
Social Housing Register,,,,,,,,,,,,,,,,,,,
From January 2024 to June 2025,,,,,,,,,,,,,,,,,,,
Social Housing Register Numbers,,,,,,,,,,,,,,,,,,,
Applications live on the Social Housing Register as at the end of the month,,,,,,,,,,,,,,,,,,,
,Register population,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,Social Housing Register,30720,30909,30681,29514,28512,27861,27525,27315,26910,26130,25539,24933,24894,24675,23886,23637,23676,23724
,Housing Register,25587,25746,25527,24465,23529,22920,22563,22332,21960,21294,20835,20301,20256,20058,19308,19092,19089,19116
,Transfer Register,5133,5163,5151,5046,4986,4941,4962,4983,4953,4836,4704,4632,4638,4617,4581,4545,4587,4608
Social Housing Register Flow,,,,,,,,,,,,,,,,,,,
Movement of applications coming onto or leaving the Social Housing Register across the month,,,,,,,,,,,,,,,,,,,
,Register flow,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
,New applications onto the Register,1764,2052,2313,2007,2223,1785,2244,2022,2025,1869,1857,1620,1659,1881,1884,1776,2121,1878
,Housed in Social Housing,675,873,783,921,1068,954,1350,1044,957,1026,1047,1116,753,828,960,780,924,753
,Register exits for other reasons,930,1053,972,849,1386,1383,2145,1959,1413,1422,1494,1311,1326,1116,1551,1077,1404,1347
Social Housing Register Demographics,,,,,,,,,,,,,,,,,,,
Demographics of primary applicants live on the Social Housing Register as at the end of the month,,,,,,,,,,,,,,,,,,,
,Assessed number of bedrooms required,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25
