suburb_name,suburb_slug,suburb_id,median_price_nzd,for_sale,sold_last_12m
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Rangitikei Surrounds,rangitikei-surrounds,3730,507500,-,-
Rangitikei Surrounds,wainuioru,4234,507500,-,-
Rangitikei Surrounds,tuatapere,3901,507500,-,-
Rangitikei Surrounds,tomarata,1300,507500,-,-
Rangitikei Surrounds,whangaehu-valley,2518,507500,-,-
Rangitikei Surrounds,oakleigh,4320,507500,-,-
Rangitikei Surrounds,lake-hayes-estate,4257,507500,-,-
Rangitikei Surrounds,mangaweka,3118,507500,-,-
Rangitikei Surrounds,lake-alice,2266,507500,-,-
Rangitikei Surrounds,koitiata,282,507500,-,-
Rangitikei Surrounds,waikaia,4346,507500,-,-
Rangitikei Surrounds,waianiwa,4326,507500,-,-
Rangitikei Surrounds,middleton,692,507500,-,-
Rangitikei Surrounds,panguru,10277,507500,-,-
Rangitikei Surrounds,tinui,4230,507500,-,-
Rangitikei Surrounds,oakura-coast,3761,507500,-,-
Rangitikei Surrounds,parewanui,1740,507500,-,-
Rangitikei Surrounds,tahekeroa,10276,507500,-,-
Rangitikei Surrounds,te-whiti,80,507500,-,-
Rangitikei Surrounds,te-anau-surrounds,3892,507500,-,-
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Wyndham Surrounds,wyndham-surrounds,3753,560000,7,1
Wyndham Surrounds,koitiata,282,560000,7,1
Wyndham Surrounds,wyndham,4348,560000,7,1
Wyndham Surrounds,wharehine,1542,560000,7,1
Wyndham Surrounds,makarora,4296,560000,7,1
Wyndham Surrounds,mangaweka,3118,560000,7,1
Wyndham Surrounds,lake-hayes-estate,4257,560000,7,1
Wyndham Surrounds,wainuioru,4234,560000,7,1
Wyndham Surrounds,whangaparaoa,4250,560000,7,1
Wyndham Surrounds,hedgehope,4373,560000,7,1
Wyndham Surrounds,cape-palliser,4224,560000,7,1
Wyndham Surrounds,hinakura,1813,560000,7,1
Wyndham Surrounds,te-anau-surrounds,3892,560000,7,1
Wyndham Surrounds,tuatapere,3901,560000,7,1
Wyndham Surrounds,tomarata,1300,560000,7,1
Wyndham Surrounds,middleton,692,560000,7,1
Wyndham Surrounds,norsewood,1287,560000,7,1
Wyndham Surrounds,turakina,1014,560000,7,1
Wyndham Surrounds,whangaehu-valley,2518,560000,7,1
Wyndham Surrounds,tanners-point,10278,560000,7,1
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Pongaroa,pongaroa,4223,220000,8,1
Pongaroa,woodville,4222,220000,8,1
Pongaroa,kapiti-coast-surrounds,3768,220000,8,1
Pongaroa,coromandel-coast,3692,220000,8,1
Pongaroa,okara,3785,220000,8,1
Pongaroa,mangaweka,3118,220000,8,1
Pongaroa,ratana,1934,220000,8,1
Pongaroa,wyndham-surrounds,3753,220000,8,1
Pongaroa,hinakura,1813,220000,8,1
Pongaroa,cape-palliser,4224,220000,8,1
Pongaroa,tomarata,1300,220000,8,1
Pongaroa,tahekeroa,10276,220000,8,1
Pongaroa,whangaparaoa,4250,220000,8,1
Pongaroa,wayby-valley,2997,220000,8,1
Pongaroa,taihape-and-surrounds,4055,220000,8,1
