geometry,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii
POINT (168.6854101 -45.0284026576),3054,AIMS,3022,5,Gum Lane,"5 Gum Lane, Queenstown",Queenstown-Lakes District,,,,,,5,,,,Gum,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.6854101,-45.02840262,Gum,,,Queenstown,Queenstown,Gum Lane,"5 Gum Lane, Queenstown"
POINT (168.84012925 -44.9436824076),5263,AIMS,5140,14,Devon Street,"14 Devon Street, Arrowtown",Queenstown-Lakes District,,,,,,14,,,,Devon,Street,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.84012925,-44.94368237,Devon,,,Arrowtown,Arrowtown,Devon Street,"14 Devon Street, Arrowtown"
POINT (168.8384236 -44.9475498076),5813,AIMS,5659,9,Hood Crescent,"9 Hood Crescent, Arrowtown",Queenstown-Lakes District,,,,,,9,,,,Hood,Crescent,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.8384236,-44.94754977,Hood,,,Arrowtown,Arrowtown,Hood Crescent,"9 Hood Crescent, Arrowtown"
POINT (168.80002315 -44.9514550742),1930936,AIMS,1497879,1,Heenan Lane,"1 Heenan Lane, Arrowtown",Queenstown-Lakes District,,,,,,1,,,,Heenan,Lane,,,,Arrowtown,Arrowtown,Thoroughfare,Current,168.80002315,-44.95145503,Heenan,,,Arrowtown,Arrowtown,Heenan Lane,"1 Heenan Lane, Arrowtown"
POINT (168.6933638697 -45.024427811),3132006,CADS,132006,1A,Panners Way,"1A Panners Way, Queenstown",Queenstown-Lakes District,,,,,,1,A,,,Panners,Way,,,,Queenstown,Queenstown,Thoroughfare,Current,168.69336387,-45.02442777,Panners,,,Queenstown,Queenstown,Panners Way,"1A Panners Way, Queenstown"
POINT (168.6624444497 -45.029515721),3132467,CADS,132467,11C,Henry Street,"11C Henry Street, Queenstown",Queenstown-Lakes District,,,,,,11,C,,,Henry,Street,,,,Queenstown,Queenstown,Thoroughfare,Current,168.66244445,-45.02951568,Henry,,,Queenstown,Queenstown,Henry Street,"11C Henry Street, Queenstown"
POINT (168.6571841297 -45.0245774111),3132559,CADS,132559,8B,Reavers Lane,"8B Reavers Lane, Queenstown",Queenstown-Lakes District,,,,,,8,B,,,Reavers,Lane,,,,Queenstown,Queenstown,Thoroughfare,Current,168.65718413,-45.02457737,Reavers,,,Queenstown,Queenstown,Reavers Lane,"8B Reavers Lane, Queenstown"
POINT (168.6659866197 -45.027978121),3134405,CADS,134405,7/15,Kerry Drive,"7/15 Kerry Drive, Queenstown",Queenstown-Lakes District,,7,,,,15,,,,Kerry,Drive,,,,Queenstown,Queenstown,Thoroughfare,Current,168.66598662,-45.02797808,Kerry,,,Queenstown,Queenstown,Kerry Drive,"7/15 Kerry Drive, Queenstown"
POINT (168.6663807597 -45.033958321),3135270,CADS,135270,405/24,Frankton Road,"405/24 Frankton Road, Queenstown",Queenstown-Lakes District,,405,,,,24,,,,Frankton,Road,,,,Queenstown,Queenstown,Thoroughfare,Current,168.66638076,-45.03395828,Frankton,,,Queenstown,Queenstown,Frankton Road,"405/24 Frankton Road, Queenstown"
POINT (172.2486289833 -43.7868301408),906978,AIMS,2697003,75,Cowans Road,"75 Cowans Road, Leeston",Selwyn District,,,,,,75,,,,Cowans,Road,,,,Leeston,Leeston,Thoroughfare,Current,172.24862898,-43.7868301,Cowans,,,Leeston,Leeston,Cowans Road,"75 Cowans Road, Leeston"
