id,building_id,name,use,suburb_locality,town_city,territorial_authority,capture_method,capture_source_group,capture_source_id,capture_source_name,capture_source_from,capture_source_to,last_modified
layer-101290.2514017,2514017,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2514215,2514215,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2514749,2514749,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2514771,2514771,,Unknown,Dobson,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2514879,2514879,,Unknown,Dobson,Greymouth,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2515195,2515195,,Unknown,Carters Beach,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2515485,2515485,,Unknown,Granity,Granity,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2515731,2515731,,Unknown,Granity,Granity,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2515732,2515732,,Unknown,Granity,Granity,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2515733,2515733,,Unknown,Granity,Granity,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2516228,2516228,,Unknown,Dunollie,Runanga,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2516229,2516229,,Unknown,Dunollie,Runanga,Grey District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2517342,2517342,,Unknown,Westport,Westport,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
layer-101290.2517457,2517457,,Unknown,Reefton,Reefton,Buller District,Feature Extraction,NZ Aerial Imagery,1006,West Coast 0.3m Rural Aerial Photos (2015-2016),2015-12-26,2016-06-01,2019-01-09
