id,appellation,affected_surveys,parcel_intent,topology_type,statutory_actions,land_district,titles,survey_area,calc_area
4688637,,,Hydro,Primary,,Taranaki,,,47659
5266447,,,Hydro,Primary,,North Auckland,,,1289690
7078994,,,Hydro,Primary,,Otago,,,160915
4109937,Ohinepoutea B Block,ML 8286,DCDB,Primary,,Gisborne,355990,20536800.0,20244766
4115868,Crown Land Survey Office Plan 2970,SO 2970,DCDB,Primary,[Create] Crown Land Reserved from Sale (Marginal Strip) Sec 58 Land Act 1948,Gisborne,,,2063743
4118166,Puketauhinu 1 Block,"ML 540/B, SO 6803",DCDB,Primary,"[Create] Conservation Park [Raukumara] New Zealand Gazette 1988 p 3794
[Create] Part Raukumara Wilderness Area [Raukumara] New Zealand Gazette 1988 p 3794, (see SO 7964)
[Create] Part Whanokao Ecological Area [Raukumara] New Zealand Gazette 1986 p 1897, (see SO 7718)",Gisborne,,158098539.0,161507528
4123053,Part Lot 15 DP 3426,DP 3426,Fee Simple Title,Primary,,Gisborne,GS5D/327,9397634.0,9423950
4123192,Part Lot 1 DP 1455,DP 1455,DCDB,Primary,,Gisborne,GS5A/1146,15747307.0,15697763
4133559,Lot 2 DP 4534,DP 4534,DCDB,Primary,,Gisborne,GS1C/810,1123.0,1130
4137968,Part Lot 1 DP 4299,DP 4299,DCDB,Primary,,Gisborne,GS3C/671,15761061.0,15615603
4141632,Lot 18 DP 3426,DP 3426,Fee Simple Title,Primary,,Gisborne,GS5D/327,21262183.0,21428955
4141881,Crown Land Survey Office Plan 3030,SO 3030,DCDB,Primary,[Create] Crown Land Reserved from Sale (Marginal Strip) Sec 58 Land Act 1948,Gisborne,,,289032
4145061,Maungawaru 2&3 Block,"ML 3611, SO 3613",DCDB,Primary,"[Create] Conservation Park [Raukumara] New Zealand Gazette 1988 p 3794
[Create] Part Maungawaru Ecological Area [Raukumara] New Zealand Gazette 1986 p 1897, (see SO 7734)
[Create] Part Raukumara Wilderness Area [Raukumara] New Zealand Gazette 1988 p 3794, (see SO 7964)",Gisborne,,134213993.0,134745937
4149857,,,Road,Primary,,Gisborne,,,269905
4150768,,,Road,Primary,,Gisborne,,,263497
4152550,,,Road,Primary,,Gisborne,,,201012
4152872,,,Road,Primary,,Gisborne,,,626406
4153466,,,Road,Primary,,Gisborne,,,518764
4155976,,,Hydro,Primary,,Gisborne,,,192010
4155965,,,Hydro,Primary,,Gisborne,,,236272
4156049,,,Hydro,Primary,,Gisborne,,,125156
4156058,,,Hydro,Primary,,Gisborne,,,1099012
4156810,,,Hydro,Primary,,Gisborne,,,135114
4156294,,,Hydro,Primary,,Gisborne,,,1249144
4156336,,,Hydro,Primary,,Gisborne,,,123808
4156391,,,Hydro,Primary,,Gisborne,,,157319
4156454,,,Hydro,Primary,,Gisborne,,,99114
4156441,,,Hydro,Primary,,Gisborne,,,196096
4156492,,,Hydro,Primary,,Gisborne,,,72416
4156512,,,Hydro,Primary,,Gisborne,,,673643
4156513,,,Hydro,Primary,,Gisborne,,,294912
4156519,,,Hydro,Primary,,Gisborne,,,55704
4156848,,,Hydro,Primary,,Gisborne,,,61333
4156941,,,Hydro,Primary,,Gisborne,,,130410
4156952,,,Hydro,Primary,,Gisborne,,,146451870
4254344,,,Hydro,Primary,,Hawkes Bay,,,134223
4243456,,,Road,Primary,,Hawkes Bay,,,180643
4253802,,,Hydro,Primary,,Hawkes Bay,,,76099
4253843,,,Hydro,Primary,,Hawkes Bay,,,573150
4254415,,,Hydro,Primary,,Hawkes Bay,,,97162
4254058,,,Hydro,Primary,,Hawkes Bay,,,656620
4254091,,,Hydro,Primary,,Hawkes Bay,,,130327
4254303,,,Hydro,Primary,,Hawkes Bay,,,369532
4341862,Crown Land Survey Office Plan 20632/3,SO 20632/3,DCDB,Primary,[Create] Crown Land Reserved from Sale (Marginal Strip) Sec 122 Land Act 1908,South Auckland,,,209625
4312722,Lot 12 DPS 41175,DPS 41175,DCDB,Primary,,South Auckland,SA36C/829,1773.0,1775
4312724,Lot 132 DPS 42377,DPS 42377,DCDB,Primary,,South Auckland,SA37D/953,793.0,794
4312725,Lot 2 DPS 52711,DPS 52711,DCDB,Primary,,South Auckland,SA46B/912,1516.0,1517
4362792,Part Kaimanawa 1A Block,ML 5347,DCDB,Primary,[Create] State Forest Park [Kaimanawa State Forest Park] New Zealand Gazette 1969 p 1885,South Auckland,,289976122.0,81644223
4369998,Crown Land,,DCDB,Primary,[Create] Crown Land Reserved from Sale (Marginal Strip) Sec 58 Land Act 1948,South Auckland,,,136465
4382321,Crown Land,,DCDB,Primary,[Create] Crown Land Reserved from Sale (Marginal Strip) Sec 58 Land Act 1948,South Auckland,,,199008
4410285,Lot 1 DPS 49408,DPS 49408,DCDB,Primary,,South Auckland,SA42C/77,8750.0,8623
4410975,Lot 56 DPS 91110,DPS 91110,DCDB,Primary,,South Auckland,SA72A/621,660.0,661
4411094,Lot 32 DPS 2580,DPS 2580,DCDB,Primary,,South Auckland,SA6D/337,814.0,814
4410404,Lot 2 DPS 91238,DPS 91238,DCDB,Primary,,South Auckland,SA72A/966,35306.0,35345
4410674,Hauhungaroa 1A4D Block,ML 19711,DCDB,Primary,,South Auckland,SA11A/1190,1290.0,1593
4411092,Lot 15 DPS 68032,DPS 68032,DCDB,Primary,,South Auckland,SA54C/578,1269.0,1271
4411206,Lot 11 DPS 9259,DPS 9259,DCDB,Primary,,South Auckland,SA7D/1200,1434.0,1436
