area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq,area_label,area_code
Hamilton City,Apartment,1,282,255,411,345,280,335,390,95,3.97,5.8091,0.2677,278,399,Hamilton City,016
Hamilton City,Apartment,2,300,267,669,473,420,480,530,86,3.92,6.1376,0.2347,395,542,Hamilton City,016
Hamilton City,Apartment,3,66,69,201,604,550,600,658,120,3.88,6.3765,0.264,492,702,Hamilton City,016
Hamilton City,Apartment,4,30,24,63,793,660,720,993,174,3.84,6.6536,0.2157,671,897,Hamilton City,016
Hamilton City,Apartment,5+,24,21,36,880,850,875,900,114,3.49,6.7733,0.1172,808,946,Hamilton City,016
Hamilton City,Apartment,NA,15,24,51,493,315,330,555,285,3.86,6.0861,0.4632,322,601,Hamilton City,016
Hamilton City,Boarding House,1,111,90,144,288,250,270,350,68,3.93,5.638,0.2296,241,328,Hamilton City,016
Hamilton City,Boarding House,NA,9,9,12,308,270,290,323,68,3.74,5.7085,0.2095,262,347,Hamilton City,016
Hamilton City,Flat,1,222,315,933,340,306,350,389,69,3.89,5.7997,0.2773,274,398,Hamilton City,016
Hamilton City,Flat,2,264,393,1122,441,398,440,480,105,3.92,6.0634,0.2377,366,505,Hamilton City,016
Hamilton City,Flat,3,21,30,93,532,483,535,575,94,3.58,6.2609,0.1802,464,591,Hamilton City,016
Hamilton City,Flat,NA,6,15,57,320,270,290,365,70,3.97,5.7488,0.2116,272,362,Hamilton City,016
Hamilton City,House,1,513,444,828,319,265,300,356,73,3.96,5.7428,0.2119,270,360,Hamilton City,016
Hamilton City,House,2,1518,1296,3645,515,480,520,550,144,3.9,6.2298,0.1717,452,570,Hamilton City,016
Hamilton City,House,3,2421,2274,7662,610,565,600,650,146,3.89,6.4023,0.1508,545,668,Hamilton City,016
Hamilton City,House,4,987,978,3204,710,650,700,760,121,3.89,6.5518,0.1735,623,787,Hamilton City,016
Hamilton City,House,5+,228,231,642,756,710,800,858,212,3.9,6.5499,0.5048,497,983,Hamilton City,016
Hamilton City,House,NA,258,390,1092,536,400,565,650,176,3.87,6.2197,0.3777,390,648,Hamilton City,016
Hamilton City,Room,1,777,702,1185,264,245,260,270,55,3.88,5.5581,0.191,228,295,Hamilton City,016
Hamilton City,Room,NA,9,9,18,209,149,195,261,82,3.75,5.2722,0.3992,149,255,Hamilton City,016
Wellington City,Apartment,1,1695,1521,3042,473,400,470,550,116,3.71,6.1217,0.3046,371,560,Wellington City,047
Wellington City,Apartment,2,1224,1170,2598,671,575,645,730,181,3.61,6.482,0.2257,561,761,Wellington City,047
Wellington City,Apartment,3,339,315,768,828,725,795,900,213,3.6,6.6862,0.2665,669,959,Wellington City,047
Wellington City,Apartment,4,102,105,258,975,900,1000,1100,251,3.51,6.8329,0.3631,726,1185,Wellington City,047
Wellington City,Apartment,5+,132,126,207,990,845,1050,1250,421,3.53,6.7533,0.623,563,1304,Wellington City,047
Wellington City,Apartment,NA,144,96,249,475,380,450,500,174,3.69,6.103,0.3595,351,570,Wellington City,047
Wellington City,Boarding House,1,366,351,303,272,235,270,310,55,3.64,5.5879,0.1958,234,305,Wellington City,047
Wellington City,Boarding House,NA,21,21,30,258,235,250,290,38,3.14,5.5411,0.1468,231,281,Wellington City,047
Wellington City,Flat,1,555,651,1926,448,400,450,495,109,3.41,6.0816,0.2158,378,506,Wellington City,047
Wellington City,Flat,2,492,591,1788,574,520,565,620,94,3.51,6.341,0.1464,514,626,Wellington City,047
Wellington City,Flat,3,180,210,609,722,660,725,775,112,3.52,6.5675,0.177,632,802,Wellington City,047
Wellington City,Flat,4,69,63,183,966,895,980,1050,149,3.51,6.8596,0.1707,849,1069,Wellington City,047
Wellington City,Flat,5+,30,33,78,1130,998,1100,1218,198,3.33,7.0159,0.1677,995,1248,Wellington City,047
Wellington City,Flat,NA,48,48,171,456,336,408,529,174,3.45,6.0608,0.3428,340,540,Wellington City,047
Wellington City,House,1,408,441,924,465,400,475,550,113,3.66,6.1051,0.2934,368,546,Wellington City,047
Wellington City,House,2,1161,1038,2826,642,570,635,700,129,3.63,6.4422,0.22,541,728,Wellington City,047
Wellington City,House,3,1977,1902,5577,778,700,760,850,145,3.69,6.6374,0.2049,665,876,Wellington City,047
Wellington City,House,4,822,825,2328,942,820,920,1050,233,3.65,6.8171,0.2688,762,1095,Wellington City,047
Wellington City,House,5+,375,375,843,1207,1050,1200,1375,325,3.63,7.0458,0.3638,898,1467,Wellington City,047
Wellington City,House,NA,333,402,1083,654,475,650,800,289,3.65,6.363,0.5465,401,838,Wellington City,047
Wellington City,Room,1,690,660,927,307,235,319,334,153,2.95,5.664,0.3218,232,358,Wellington City,047
Wellington City,Room,NA,27,15,48,581,273,315,360,657,1.68,5.9831,0.7834,234,673,Wellington City,047
Auckland,Apartment,1,4629,4560,8826,486,400,475,550,136,3.81,6.1402,0.3349,370,582,Auckland,076
Auckland,Apartment,2,4680,4491,9894,641,550,610,695,180,3.82,6.427,0.2801,512,747,Auckland,076
Auckland,Apartment,3,768,804,1824,859,650,750,900,386,3.77,6.6882,0.3435,637,1012,Auckland,076
Auckland,Apartment,4,93,90,231,887,695,820,950,319,3.68,6.7356,0.316,680,1042,Auckland,076
Auckland,Apartment,5+,27,27,60,987,800,1030,1245,383,3.87,6.7838,0.5502,610,1280,Auckland,076
Auckland,Apartment,NA,600,660,1281,505,400,470,580,169,3.87,6.1688,0.3533,376,606,Auckland,076
Auckland,Boarding House,1,1104,882,939,348,293,340,400,88,3.14,5.8189,0.2567,283,400,Auckland,076
