area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq,area_label,area_code,period
Hamilton City,Apartment,1,18,21,381,364,315,350,378,83,3.99,5.8763,0.2062,310,410,Hamilton City,016,2025-06
Hamilton City,Apartment,2,21,18,663,465,450,470,530,74,3.9,6.1264,0.1841,404,518,Hamilton City,016,2025-06
Hamilton City,Apartment,3,6,6,195,623,575,610,683,91,4.0,6.4262,0.1463,560,682,Hamilton City,016,2025-06
Hamilton City,Flat,1,27,24,933,354,335,360,395,82,3.83,5.829,0.3256,273,424,Hamilton City,016,2025-06
Hamilton City,Flat,2,48,30,1182,466,420,463,491,63,3.83,6.1353,0.1276,424,503,Hamilton City,016,2025-06
Hamilton City,Flat,3,6,0,93,603,570,625,673,99,4.0,6.3898,0.1796,528,672,Hamilton City,016,2025-06
Hamilton City,House,1,51,33,855,493,400,520,565,112,3.98,6.1728,0.2436,407,565,Hamilton City,016,2025-06
Hamilton City,House,2,81,93,3477,562,508,550,591,86,3.9,6.3202,0.1459,504,613,Hamilton City,016,2025-06
Hamilton City,House,3,156,198,7416,620,575,600,650,213,3.8,6.3989,0.239,512,706,Hamilton City,016,2025-06
Hamilton City,House,4,51,66,3093,739,645,730,755,386,3.63,6.5402,0.3332,553,867,Hamilton City,016,2025-06
Hamilton City,House,5,12,3,63,367,270,280,295,215,4.33,5.7975,0.4347,246,442,Hamilton City,016,2025-06
Hamilton City,House,5+,6,15,609,796,820,880,880,365,4.0,6.5315,0.7049,427,1104,Hamilton City,016,2025-06
Hamilton City,House,NA,153,36,1917,577,521,595,684,177,3.98,6.2991,0.3623,426,695,Hamilton City,016,2025-06
Hamilton City,Room,1,15,30,918,273,229,255,280,135,3.52,5.5029,0.4816,177,340,Hamilton City,016,2025-06
Hamilton City,Room,NA,27,6,219,307,260,300,350,62,2.95,5.7089,0.1971,264,344,Hamilton City,016,2025-06
Hamilton City,Apartment,1,12,24,381,420,348,370,458,105,4.0,6.0149,0.2278,351,477,Hamilton City,016,2025-05
Hamilton City,Apartment,2,15,27,660,509,470,535,550,59,3.85,6.2264,0.1227,466,550,Hamilton City,016,2025-05
Hamilton City,Boarding House,NA,6,3,54,327,293,300,368,49,4.0,5.7799,0.145,294,357,Hamilton City,016,2025-05
Hamilton City,Flat,1,33,12,930,362,305,350,390,131,3.66,5.8535,0.2582,293,415,Hamilton City,016,2025-05
Hamilton City,Flat,2,48,30,1164,455,400,440,510,79,3.89,6.1052,0.1752,398,504,Hamilton City,016,2025-05
Hamilton City,Flat,3,6,3,87,574,500,575,658,116,4.0,6.3352,0.2082,490,649,Hamilton City,016,2025-05
Hamilton City,House,1,42,30,837,459,340,520,560,151,3.94,6.0469,0.4631,309,578,Hamilton City,016,2025-05
Hamilton City,House,2,87,126,3489,555,500,548,596,89,3.87,6.3069,0.1547,494,609,Hamilton City,016,2025-05
Hamilton City,House,3,150,228,7458,613,560,600,650,173,3.74,6.394,0.208,520,688,Hamilton City,016,2025-05
Hamilton City,House,4,66,72,3108,685,630,698,778,141,3.91,6.5011,0.2665,556,797,Hamilton City,016,2025-05
Hamilton City,House,5,9,3,54,481,275,310,760,251,4.0,6.0556,0.5167,301,604,Hamilton City,016,2025-05
Hamilton City,House,5+,9,18,618,527,200,650,768,291,3.8,6.0815,0.6831,276,694,Hamilton City,016,2025-05
Hamilton City,House,NA,165,42,1797,562,500,580,683,163,4.02,6.2806,0.3387,425,671,Hamilton City,016,2025-05
Hamilton City,Room,1,12,42,933,272,258,275,290,25,4.0,5.6011,0.0958,254,289,Hamilton City,016,2025-05
Hamilton City,Room,NA,21,9,198,293,243,290,328,71,2.72,5.6539,0.2213,246,331,Hamilton City,016,2025-05
Hamilton City,Apartment,1,12,21,396,347,310,325,368,70,3.95,5.8317,0.195,299,389,Hamilton City,016,2025-04
Hamilton City,Apartment,2,18,21,669,570,465,530,639,137,3.73,6.3194,0.2321,475,649,Hamilton City,016,2025-04
Hamilton City,Apartment,3,9,3,201,624,600,620,645,32,4.0,6.4355,0.0513,602,646,Hamilton City,016,2025-04
Hamilton City,Flat,1,24,21,909,383,338,370,405,93,3.87,5.925,0.2166,323,433,Hamilton City,016,2025-04
Hamilton City,Flat,2,42,27,1146,454,403,440,500,62,3.87,6.109,0.1362,410,493,Hamilton City,016,2025-04
Hamilton City,House,1,39,27,825,472,400,470,570,127,3.96,6.111,0.34,358,567,Hamilton City,016,2025-04
Hamilton City,House,2,84,117,3531,580,520,550,610,92,3.84,6.3508,0.1536,517,635,Hamilton City,016,2025-04
Hamilton City,House,3,156,189,7536,605,565,600,650,102,3.81,6.3872,0.2034,518,682,Hamilton City,016,2025-04
Hamilton City,House,4,45,84,3111,675,650,700,750,147,3.78,6.4742,0.3397,515,815,Hamilton City,016,2025-04
Hamilton City,House,5,6,0,48,576,453,645,700,205,4.0,6.2864,0.4246,403,715,Hamilton City,016,2025-04
Hamilton City,House,5+,6,27,627,773,793,850,893,235,4.0,6.5742,0.4858,516,994,Hamilton City,016,2025-04
Hamilton City,House,NA,156,36,1671,565,503,590,680,162,3.98,6.2862,0.3427,426,677,Hamilton City,016,2025-04
Hamilton City,Room,1,6,27,963,244,215,278,306,93,3.69,5.4197,0.4894,162,314,Hamilton City,016,2025-04
Hamilton City,Room,NA,15,6,183,293,250,310,340,75,2.6,5.6449,0.2789,234,341,Hamilton City,016,2025-04
Hamilton City,Apartment,1,18,15,402,354,300,330,415,72,4.0,5.8498,0.1994,303,397,Hamilton City,016,2025-03
Hamilton City,Apartment,2,18,30,675,602,455,495,568,397,3.32,6.3029,0.3768,424,704,Hamilton City,016,2025-03
Hamilton City,Apartment,3,12,12,198,510,423,593,630,202,3.88,6.126,0.5392,318,658,Hamilton City,016,2025-03
Hamilton City,Flat,1,27,21,909,327,318,350,376,84,4.01,5.7437,0.3458,247,394,Hamilton City,016,2025-03
Hamilton City,Flat,2,33,24,1134,460,404,440,515,67,4.0,6.1199,0.1457,412,502,Hamilton City,016,2025-03
Hamilton City,House,1,39,39,816,487,368,545,584,139,4.0,6.1383,0.3338,370,580,Hamilton City,016,2025-03
Hamilton City,House,2,93,147,3561,544,500,550,573,98,3.86,6.2799,0.2179,461,618,Hamilton City,016,2025-03
Hamilton City,House,3,186,219,7575,632,560,600,650,312,3.6,6.3899,0.3041,485,731,Hamilton City,016,2025-03
Hamilton City,House,4,63,93,3153,715,650,740,770,166,3.88,6.539,0.2827,572,837,Hamilton City,016,2025-03
Hamilton City,House,5,9,0,39,443,280,285,645,225,4.0,5.9854,0.4791,288,549,Hamilton City,016,2025-03
Hamilton City,House,5+,6,15,645,837,775,850,855,86,4.0,6.7257,0.0991,780,891,Hamilton City,016,2025-03
Hamilton City,House,NA,159,36,1554,571,530,580,650,155,3.99,6.3021,0.3171,441,676,Hamilton City,016,2025-03
Hamilton City,Room,1,24,54,987,265,140,258,270,166,3.46,5.4516,0.4851,168,323,Hamilton City,016,2025-03
Hamilton City,Room,NA,30,3,177,305,250,260,330,115,2.7,5.6724,0.2886,239,353,Hamilton City,016,2025-03
Hamilton City,Apartment,1,15,27,399,475,330,360,485,314,3.34,6.0533,0.4183,321,564,Hamilton City,016,2025-02
Hamilton City,Apartment,2,30,24,687,511,470,520,570,65,3.84,6.2271,0.1336,463,554,Hamilton City,016,2025-02
Hamilton City,Apartment,3,12,9,198,678,600,750,750,97,3.81,6.5093,0.1521,606,744,Hamilton City,016,2025-02
Hamilton City,Apartment,4,6,6,63,771,680,703,794,154,3.8,6.6345,0.1846,672,862,Hamilton City,016,2025-02
Hamilton City,Apartment,5+,6,12,27,942,931,950,950,13,3.18,6.8476,0.0138,933,950,Hamilton City,016,2025-02
Hamilton City,Boarding House,NA,12,3,45,307,290,290,340,51,4.0,5.7145,0.1742,270,341,Hamilton City,016,2025-02
Hamilton City,Flat,1,30,12,903,361,310,350,380,139,3.43,5.8307,0.3489,269,431,Hamilton City,016,2025-02
Hamilton City,Flat,2,57,24,1122,454,400,450,490,66,3.98,6.107,0.1477,406,496,Hamilton City,016,2025-02
Hamilton City,House,1,42,51,813,476,400,510,570,110,3.96,6.1346,0.2678,385,553,Hamilton City,016,2025-02
Hamilton City,House,2,87,144,3618,567,520,550,614,103,3.94,6.3224,0.1996,487,637,Hamilton City,016,2025-02
Hamilton City,House,3,213,246,7605,573,550,600,650,135,3.92,6.3102,0.3131,445,680,Hamilton City,016,2025-02
Hamilton City,House,4,96,117,3183,665,638,700,760,299,3.82,6.3913,0.5214,420,848,Hamilton City,016,2025-02
Hamilton City,House,5,12,0,30,562,300,650,790,262,3.62,6.1993,0.573,335,725,Hamilton City,016,2025-02
Hamilton City,House,5+,27,27,651,701,724,780,825,248,3.71,6.4462,0.5426,437,909,Hamilton City,016,2025-02
Hamilton City,House,NA,153,30,1428,537,390,580,650,171,4.04,6.2238,0.3773,391,651,Hamilton City,016,2025-02
Hamilton City,Room,1,30,57,1020,231,140,250,265,129,3.72,5.3279,0.475,150,284,Hamilton City,016,2025-02
Hamilton City,Room,NA,69,3,147,274,250,260,278,55,3.38,5.5972,0.1756,240,304,Hamilton City,016,2025-02
Hamilton City,Apartment,1,21,21,414,356,320,340,363,63,4.04,5.8593,0.1721,312,394,Hamilton City,016,2025-01
Hamilton City,Apartment,2,18,27,681,479,450,465,515,57,3.91,6.1662,0.1161,440,515,Hamilton City,016,2025-01
Hamilton City,Apartment,3,6,9,198,634,585,670,688,73,3.95,6.4454,0.1196,581,683,Hamilton City,016,2025-01
Hamilton City,Apartment,4,6,6,63,621,635,655,685,125,3.76,6.4066,0.2614,508,723,Hamilton City,016,2025-01
Hamilton City,Boarding House,1,12,6,159,188,110,196,238,74,3.12,5.1615,0.4182,132,231,Hamilton City,016,2025-01
Hamilton City,Boarding House,NA,9,0,39,352,290,290,430,128,4.0,5.8109,0.337,266,419,Hamilton City,016,2025-01
Hamilton City,Flat,1,33,24,888,350,320,360,390,60,3.91,5.8419,0.1798,305,389,Hamilton City,016,2025-01
Hamilton City,Flat,2,39,30,1092,466,425,450,498,64,3.96,6.1353,0.1342,422,506,Hamilton City,016,2025-01
Hamilton City,Flat,3,6,3,87,498,488,520,530,74,3.98,6.2004,0.1601,442,549,Hamilton City,016,2025-01
Hamilton City,House,1,15,45,825,383,310,430,470,145,3.74,5.8337,0.5674,233,501,Hamilton City,016,2025-01
Hamilton City,House,2,84,114,3675,528,500,540,570,85,3.9,6.2458,0.2528,435,612,Hamilton City,016,2025-01
Hamilton City,House,3,192,237,7641,601,571,600,650,84,3.84,6.3839,0.1949,519,675,Hamilton City,016,2025-01
Hamilton City,House,4,75,102,3207,702,660,720,760,116,3.89,6.5357,0.2051,600,792,Hamilton City,016,2025-01
Hamilton City,House,5,9,0,18,535,260,530,795,281,3.65,6.1467,0.5631,320,683,Hamilton City,016,2025-01
Hamilton City,House,5+,21,27,651,755,705,780,900,213,3.78,6.5619,0.4266,531,944,Hamilton City,016,2025-01
Hamilton City,House,NA,165,36,1305,577,540,600,695,184,4.17,6.2937,0.3858,417,702,Hamilton City,016,2025-01
Hamilton City,Room,1,15,69,1047,254,240,270,280,65,3.87,5.4959,0.3217,196,303,Hamilton City,016,2025-01
Hamilton City,Room,NA,39,0,81,295,250,270,340,57,2.96,5.6707,0.1874,256,329,Hamilton City,016,2025-01
Hamilton City,Apartment,1,9,18,411,344,313,335,369,60,3.99,5.8259,0.1703,302,380,Hamilton City,016,2024-12
Hamilton City,Apartment,2,18,24,687,474,420,490,510,96,3.71,6.1386,0.2228,399,539,Hamilton City,016,2024-12
Hamilton City,Apartment,3,9,15,198,619,600,620,650,40,3.69,6.427,0.0648,592,646,Hamilton City,016,2024-12
Hamilton City,Boarding House,NA,6,0,27,347,358,380,380,68,3.8,5.8276,0.2377,289,399,Hamilton City,016,2024-12
Hamilton City,Flat,1,30,24,876,328,298,335,370,83,3.96,5.7471,0.3533,247,398,Hamilton City,016,2024-12
Hamilton City,Flat,2,39,27,1083,471,428,460,499,64,3.87,6.1466,0.1344,427,511,Hamilton City,016,2024-12
Hamilton City,House,1,15,33,852,389,311,385,450,101,3.54,5.9284,0.2835,310,455,Hamilton City,016,2024-12
Hamilton City,House,2,105,141,3708,551,500,540,570,180,3.82,6.2807,0.2488,452,632,Hamilton City,016,2024-12
Hamilton City,House,3,195,225,7683,595,568,600,650,108,3.84,6.3656,0.237,496,682,Hamilton City,016,2024-12
Hamilton City,House,4,93,105,3228,697,630,720,765,136,3.88,6.5208,0.2555,572,807,Hamilton City,016,2024-12
Hamilton City,House,5+,15,18,654,606,290,725,843,284,3.62,6.2599,0.6128,346,791,Hamilton City,016,2024-12
Hamilton City,House,NA,120,27,1173,567,505,580,680,167,3.88,6.2885,0.3442,427,679,Hamilton City,016,2024-12
Hamilton City,Room,1,21,45,1101,291,255,280,290,106,3.85,5.6236,0.3145,224,342,Hamilton City,016,2024-12
Hamilton City,Room,NA,18,0,45,281,260,270,300,37,3.64,5.6292,0.1256,256,303,Hamilton City,016,2024-12
Hamilton City,Apartment,1,12,21,417,347,310,345,358,64,4.0,5.8358,0.1686,306,384,Hamilton City,016,2024-11
Hamilton City,Apartment,2,24,18,696,478,420,470,528,71,3.88,6.1592,0.1492,428,523,Hamilton City,016,2024-11
Hamilton City,Boarding House,1,21,15,165,266,250,250,293,55,3.92,5.5617,0.2167,225,301,Hamilton City,016,2024-11
Hamilton City,Boarding House,NA,9,3,21,217,125,220,295,102,3.24,5.2778,0.4988,140,274,Hamilton City,016,2024-11
Hamilton City,Flat,1,21,24,870,330,325,350,380,88,3.97,5.7361,0.4312,232,414,Hamilton City,016,2024-11
Hamilton City,Flat,2,18,27,1074,474,400,470,506,93,3.93,6.1441,0.1852,411,528,Hamilton City,016,2024-11
Hamilton City,House,1,54,39,870,347,274,312,403,95,3.97,5.8179,0.2464,285,397,Hamilton City,016,2024-11
Hamilton City,House,2,147,111,3744,527,500,530,580,66,3.88,6.2589,0.1369,477,573,Hamilton City,016,2024-11
Hamilton City,House,3,228,210,7713,626,580,620,670,94,3.88,6.4248,0.1864,544,700,Hamilton City,016,2024-11
Hamilton City,House,4,87,78,3243,716,650,750,780,102,3.91,6.562,0.1675,632,792,Hamilton City,016,2024-11
Hamilton City,House,5+,24,27,660,690,611,770,805,210,4.02,6.4647,0.4393,477,864,Hamilton City,016,2024-11
Hamilton City,House,NA,48,27,1083,546,450,580,650,159,3.92,6.252,0.3436,412,654,Hamilton City,016,2024-11
Hamilton City,Room,1,48,75,1128,264,250,260,280,42,3.87,5.5625,0.1827,230,295,Hamilton City,016,2024-11
Hamilton City,Apartment,1,18,12,426,345,319,345,380,47,3.91,5.8337,0.1401,311,375,Hamilton City,016,2024-10
Hamilton City,Apartment,2,18,15,690,474,425,465,520,69,3.93,6.1521,0.1459,426,518,Hamilton City,016,2024-10
Hamilton City,Apartment,3,6,6,204,692,650,675,738,79,3.6,6.5337,0.1135,637,743,Hamilton City,016,2024-10
Hamilton City,Boarding House,1,6,6,159,261,238,253,256,74,3.79,5.5336,0.2495,214,299,Hamilton City,016,2024-10
Hamilton City,Flat,1,24,36,873,328,295,350,373,67,3.81,5.762,0.2895,262,387,Hamilton City,016,2024-10
Hamilton City,Flat,2,15,24,1083,417,395,430,445,91,3.84,6.0035,0.2678,338,485,Hamilton City,016,2024-10
Hamilton City,House,1,39,36,861,323,270,320,375,60,3.99,5.7607,0.1885,280,361,Hamilton City,016,2024-10
Hamilton City,House,2,138,108,3708,523,490,530,560,74,3.99,6.2414,0.2319,439,601,Hamilton City,016,2024-10
Hamilton City,House,3,225,225,7695,611,575,600,650,70,3.88,6.4059,0.1477,548,669,Hamilton City,016,2024-10
Hamilton City,House,4,93,99,3234,726,680,740,780,99,3.91,6.5719,0.2098,620,823,Hamilton City,016,2024-10
Hamilton City,House,5+,15,21,657,721,680,790,860,278,3.85,6.4628,0.5749,435,944,Hamilton City,016,2024-10
Hamilton City,House,NA,21,24,1062,694,580,680,790,201,3.7,6.5052,0.2829,552,809,Hamilton City,016,2024-10
Hamilton City,Room,1,39,66,1155,275,250,260,293,45,3.87,5.6028,0.1642,243,303,Hamilton City,016,2024-10
Hamilton City,Apartment,1,18,15,423,362,325,360,413,69,4.09,5.8722,0.1998,310,406,Hamilton City,016,2024-09
Hamilton City,Apartment,2,21,15,684,519,480,540,550,72,3.66,6.2413,0.1447,466,566,Hamilton City,016,2024-09
Hamilton City,Boarding House,1,15,9,156,292,234,298,350,71,3.8,5.6464,0.2534,239,336,Hamilton City,016,2024-09
Hamilton City,Flat,1,15,30,885,306,270,323,350,81,3.92,5.6765,0.345,231,368,Hamilton City,016,2024-09
Hamilton City,Flat,2,12,27,1095,457,415,450,485,52,4.0,6.1186,0.1113,421,490,Hamilton City,016,2024-09
Hamilton City,House,1,57,39,855,331,280,320,380,69,3.96,5.7791,0.2224,278,376,Hamilton City,016,2024-09
Hamilton City,House,2,129,126,3675,526,500,548,565,66,3.95,6.2533,0.1718,463,584,Hamilton City,016,2024-09
Hamilton City,House,3,198,189,7692,624,580,630,660,77,3.9,6.4268,0.1427,561,681,Hamilton City,016,2024-09
Hamilton City,House,4,81,78,3237,728,676,725,780,88,3.97,6.5831,0.1186,667,783,Hamilton City,016,2024-09
Hamilton City,House,5+,18,15,660,696,650,770,875,239,4.0,6.4524,0.5068,451,893,Hamilton City,016,2024-09
Hamilton City,House,NA,18,27,1068,532,495,520,640,134,3.41,6.2377,0.3098,415,631,Hamilton City,016,2024-09
Hamilton City,Room,1,42,45,1179,279,250,265,320,54,3.91,5.6128,0.1899,241,311,Hamilton City,016,2024-09
Hamilton City,Apartment,1,21,24,417,339,271,330,375,97,3.91,5.7919,0.2675,274,392,Hamilton City,016,2024-08
Hamilton City,Apartment,2,21,18,675,502,433,513,558,101,3.89,6.1994,0.2012,430,564,Hamilton City,016,2024-08
Hamilton City,Apartment,3,6,6,201,551,559,573,575,61,4.0,6.3057,0.1211,505,594,Hamilton City,016,2024-08
Hamilton City,Boarding House,1,15,9,150,281,250,250,298,53,4.07,5.6224,0.1745,246,311,Hamilton City,016,2024-08
Hamilton City,Flat,1,18,33,900,345,310,335,380,53,4.06,5.8329,0.1578,307,380,Hamilton City,016,2024-08
Hamilton City,Flat,2,18,27,1110,452,400,448,494,61,4.0,6.1056,0.1362,409,492,Hamilton City,016,2024-08
Hamilton City,House,1,42,39,840,342,270,325,405,80,3.94,5.8076,0.2276,285,388,Hamilton City,016,2024-08
Hamilton City,House,2,144,126,3675,516,490,530,560,83,3.94,6.2217,0.2679,420,603,Hamilton City,016,2024-08
Hamilton City,House,3,231,201,7683,614,580,610,650,65,3.91,6.4142,0.1204,563,662,Hamilton City,016,2024-08
Hamilton City,House,4,93,87,3231,721,660,730,773,82,3.84,6.574,0.115,663,774,Hamilton City,016,2024-08
Hamilton City,House,5+,24,15,657,842,770,840,895,210,3.94,6.6969,0.3167,654,1003,Hamilton City,016,2024-08
Hamilton City,House,NA,18,27,1074,528,431,545,630,143,3.87,6.2273,0.309,411,624,Hamilton City,016,2024-08
Hamilton City,Room,1,39,51,1182,256,240,260,285,50,3.83,5.5211,0.2404,213,294,Hamilton City,016,2024-08
Hamilton City,Apartment,1,21,18,420,389,317,345,410,128,3.87,5.9233,0.2724,311,449,Hamilton City,016,2024-07
Hamilton City,Apartment,2,21,18,672,506,424,540,553,76,3.9,6.2158,0.1555,451,556,Hamilton City,016,2024-07
Hamilton City,Boarding House,1,12,6,147,305,238,290,415,103,3.74,5.6612,0.3721,224,370,Hamilton City,016,2024-07
Hamilton City,Flat,1,15,33,915,358,343,358,374,51,3.85,5.8709,0.1405,323,390,Hamilton City,016,2024-07
Hamilton City,Flat,2,18,18,1122,421,400,420,440,35,3.79,6.0392,0.0822,397,443,Hamilton City,016,2024-07
Hamilton City,House,1,36,30,837,322,280,305,360,64,3.9,5.7566,0.1872,279,359,Hamilton City,016,2024-07
Hamilton City,House,2,141,126,3657,521,493,540,560,74,3.92,6.2433,0.1792,456,581,Hamilton City,016,2024-07
Hamilton City,House,3,213,219,7653,626,580,620,660,60,3.89,6.4353,0.0943,585,664,Hamilton City,016,2024-07
Hamilton City,House,4,99,75,3225,704,650,710,779,115,3.93,6.536,0.2317,590,806,Hamilton City,016,2024-07
Hamilton City,House,5+,21,12,648,729,665,810,878,255,3.94,6.4915,0.5331,460,945,Hamilton City,016,2024-07
Hamilton City,House,NA,21,33,1083,449,310,425,600,162,4.0,6.0313,0.43,311,556,Hamilton City,016,2024-07
Hamilton City,Room,1,66,57,1194,246,233,250,269,67,3.72,5.4673,0.2925,194,288,Hamilton City,016,2024-07
Hamilton City,Apartment,1,27,18,420,346,279,323,391,90,4.01,5.8182,0.2413,286,396,Hamilton City,016,2024-06
Hamilton City,Apartment,2,18,24,669,452,405,430,483,60,4.0,6.1053,0.1288,411,489,Hamilton City,016,2024-06
Hamilton City,Apartment,3,6,6,207,670,603,670,798,153,4.0,6.4832,0.247,554,773,Hamilton City,016,2024-06
Hamilton City,Boarding House,1,12,9,141,288,218,280,350,88,3.96,5.6195,0.3027,225,338,Hamilton City,016,2024-06
Hamilton City,Flat,1,15,24,933,369,353,378,399,46,3.84,5.9027,0.1339,334,401,Hamilton City,016,2024-06
Hamilton City,Flat,2,24,24,1122,455,410,450,500,106,4.0,6.083,0.3091,356,540,Hamilton City,016,2024-06
Hamilton City,House,1,51,33,828,330,280,310,360,70,3.96,5.7792,0.2033,282,371,Hamilton City,016,2024-06
Hamilton City,House,2,123,108,3645,523,480,535,565,58,3.94,6.2538,0.1156,481,562,Hamilton City,016,2024-06
Hamilton City,House,3,195,195,7659,618,570,610,650,97,3.87,6.4114,0.1916,535,693,Hamilton City,016,2024-06
Hamilton City,House,4,84,81,3201,728,680,745,790,81,3.91,6.5842,0.1131,670,781,Hamilton City,016,2024-06
Hamilton City,House,5+,18,21,639,776,689,800,895,196,3.91,6.6099,0.3485,587,939,Hamilton City,016,2024-06
Hamilton City,House,NA,12,33,1095,470,258,590,635,210,3.68,6.0301,0.5631,284,608,Hamilton City,016,2024-06
Hamilton City,Room,1,69,63,1185,270,250,260,290,67,3.89,5.5687,0.2502,221,310,Hamilton City,016,2024-06
Hamilton City,Apartment,1,24,21,408,340,273,350,378,107,3.94,5.7924,0.2623,275,391,Hamilton City,016,2024-05
